Texto,Categoria
"Prezado Comitê, A análise de risco para o Cliente MegaCorp foi concluída. Recomendamos aprovação com limite de R$ 5MM, conforme anexo 'Relatorio_Risco_v2.pdf'.",Produtivo
"Trade de US$ 100.000,00 fechado com sucesso. Taxa de 5.12. Aguardando liquidação D+1. Favor atualizar o registro no sistema.",Produtivo
"Revisamos as novas diretrizes do BACEN. A Seção 4.1.2 do relatório precisa de ajustes para refletir a nova regra de capitalização.",Produtivo
"A pauta principal será a exposição ao mercado de títulos públicos e a nova provisão de perdas esperadas. Favor ler os materiais prévios.",Produtivo
"O processo de Onboarding está travado. Necessitamos urgentemente do comprovante de endereço atualizado para Mr. Smith.",Produtivo
"O *forecast* de receita para Derivativos foi revisado para cima em 8% devido à volatilidade. Detalhes na aba 'Ajuste_Opcoes' da planilha.",Produtivo
"A auditoria apontou duas falhas de controle. Anexei o plano de ação corretiva a ser implementado até o final do mês.",Produtivo
"O cálculo do PDD para o mês de setembro já está disponível no drive. O impacto no balanço é de R$ 2.3M.",Produtivo
"A nova regra de ICMS impacta nossos produtos de investimento. Favor emitir um parecer sobre os riscos fiscais.",Produtivo
"Precisamos que os dados da carteira de FIIs sejam validados com a Custódia antes do envio do reporte oficial à CVM hoje às 17h.",Produtivo
"Nosso modelo indica uma melhora no sentimento do mercado em relação à PETR4 após o anúncio da nova diretoria.",Produtivo
"O pagamento de juros das Debêntures (Série B) foi efetuado hoje. Notificação enviada aos investidores.",Produtivo
"Conforme discutido, vamos iniciar a operação de hedge cambial com 60% da exposição. Implementação imediata.",Produtivo
"O projeto de digitalização do processo de abertura de conta está 80% concluído. Próxima milestone é a integração da biometria.",Produtivo
"Segue anexo o relatório semanal de performance. O Fundo Alpha rendeu 120% do CDI na semana. Foco na alocação de risco.",Produtivo
"Favor efetuar transferência de R$ 500.000,00 para a conta do Bradesco (Ag 1234, CC 56789) até o final do expediente. Motivo: Dívida.",Produtivo
"O novo modelo de precificação para títulos de renda fixa já está no ambiente de teste. Precisamos da sua validação formal.",Produtivo
"Cliente XYZ solicitou o encerramento. Todos os fundos foram resgatados. Anexei a documentação final de desligamento.",Produtivo
"A instrução é clara: aumentar a exposição a ETFs de tecnologia dos EUA em 5%. Limite de perda definido em 2%.",Produtivo
"A reunião de acompanhamento da aquisição da Empresa Beta está mantida. Foco na sinergia de custos e integração de sistemas.",Produtivo
"Concluí a proposta personalizada para o Cliente Diamante. Inclui Fundo Exclusivo e *Private Equity*. Favor revisar antes do envio.",Produtivo
"O pagamento de R$ 300.000,00 exige aprovação de Alçada B. Favor validar e liberar a transação no sistema interno.",Produtivo
"O IPCA veio acima do esperado. Precisamos reavaliar o impacto nas nossas projeções de taxa de juros e portfólio.",Produtivo
"Lembrando que o treinamento de PLD é obrigatório para todos. O prazo final é sexta-feira. Link do curso anexo.",Produtivo
"Detectamos uma inconsistência de R$ 10.500,00 na conciliação bancária de ontem. Favor investigar a origem da diferença.",Produtivo
"O CFO solicitou um resumo da performance dos títulos de dívida soberana europeia até as 15h.",Produtivo
"Favor revisar a Cláusula 5.2 (Rescisão) no contrato com a Fintech A. Necessário incluir penalidade por falha de segurança.",Produtivo
"A nova política de LGPD foi aprovada pela diretoria. Favor garantir que todos os sistemas estejam em conformidade até 01/10.",Produtivo
"Vamos discutir amanhã o impacto da provável alta de juros do FED na alocação global de nossos fundos.",Produtivo
"O fechamento das contas a pagar/receber será antecipado para quinta-feira devido ao feriado. Favor enviar pendências.",Produtivo
"A documentação do novo FII 'Torre Alfa' está completa. Liberação para captação de R$ 50M aprovada.",Produtivo
"A exposição ao risco de mercado atingiu 95% do limite máximo. Favor reduzir posições ou justificar o aumento.",Produtivo
"O material final para o Board Meeting de quarta deve focar nas métricas de rentabilidade e planos de crescimento.",Produtivo
"O cliente Beta está com 30 dias de atraso. Favor iniciar o protocolo de cobrança e renegociação.",Produtivo
"O departamento econômico revisou as projeções de PIB e Dólar para 2026. Anexei o novo modelo estatístico.",Produtivo
"O sistema de segurança identificou uma tentativa de phishing direcionada ao setor de Tesouraria. Favor não abrir e-mails suspeitos.",Produtivo
"O relatório de análise de ações com foco em Small Caps foi concluído. Anexei as 5 principais recomendações de compra.",Produtivo
"Sua senha do sistema Core Financeiro expirou. Favor trocar imediatamente para garantir acesso às operações críticas.",Produtivo
"A avaliação do fornecedor de TI (Manutenção de Servidores) está pendente. Prazo final é hoje às 18h.",Produtivo
"Sua presença no roadshow em São Paulo na próxima semana foi confirmada. Agenda de reuniões anexa.",Produtivo
"Recebemos um ofício judicial para bloquear ativos do Cliente Z. Favor executar o procedimento conforme a política interna.",Produtivo
"Favor enviar um relatório detalhado de gastos do seu departamento no último mês. Foco em despesas não essenciais.",Produtivo
"O time de produtos iniciará o desenvolvimento de um novo CDB de alta liquidez. Reunião de kickoff amanhã.",Produtivo
"A diretoria aprovou a distribuição de 80% do lucro líquido em dividendos. Comunicação ao mercado será na segunda.",Produtivo
"O orçamento de 2026 precisa ser reduzido em 10%. Favor identificar áreas de corte e enviar a revisão.",Produtivo
"A integração de dados com o BC está 90% completa. Testes finais de transmissão de arquivos serão realizados amanhã.",Produtivo
"Anexei a análise comparativa das taxas de empréstimos dos nossos 3 principais concorrentes para revisão.",Produtivo
"Os certificados digitais do sistema de assinaturas eletrônicas serão renovados. Instruções para instalação anexo.",Produtivo
"Reunião marcada para debater o impacto do resultado eleitoral no cenário de investimentos do próximo semestre.",Produtivo
"Relatório trimestral de incidentes: Tivemos 23 bloqueios de malware no período. Não houve violação de dados.",Produtivo
"Não perca! Promoção válida apenas hoje. Clique no link e use o cupom DESCONTO30.",Improdutivo
"Leia esta piada hilária sobre o setor de TI e encaminhe para 5 amigos para dar risada.",Improdutivo
"ONG Protetores: Precisamos da sua ajuda para pagar o veterinário do Poodle abandonado. Qualquer valor ajuda!",Improdutivo
"Parabéns pelo seu dia, João! Muitas felicidades e sucesso! Vamos tomar um café juntos na hora do almoço.",Improdutivo
"O ar-condicionado do 15º andar quebrou e a manutenção será em 3 dias. Favor usar roupas mais leves.",Improdutivo
"Estou me mudando e vendendo meus móveis e livros de faculdade. Veja a lista e preços no link.",Improdutivo
"Ajude-nos a entender o humor do time! Responda à pesquisa rápida sobre cores.",Improdutivo
"Minha família fará um churrasco no próximo sábado. Seria ótimo se você e sua esposa pudessem comparecer.",Improdutivo
"Vi essa notícia e lembrei de você. O jogo de ontem foi terrível! Comente o lance mais polêmico.",Improdutivo
"Este é um e-mail automático do seu plano de previdência. Não requer ação imediata. Informações para referência futura.",Improdutivo
"Favor retirar as canecas que não estão em uso na copa. O zelador irá descartar o que restar amanhã.",Improdutivo
"A empresa está agora no Instagram. Siga para ver fotos do escritório e eventos internos.",Improdutivo
"O sistema de registro de ponto ficou fora do ar por 30 minutos hoje. Favor registrar o horário manualmente.",Improdutivo
"Pacote de 7 dias com tudo incluso. Use o código CARIBE500 para garantir seu desconto de R$ 500.",Improdutivo
"Palestra de 1 hora sobre como reduzir o estresse através da meditação. Próxima terça-feira na sala de treinamento.",Improdutivo
"As novas regras de estacionamento entrarão em vigor. Carros com placa final par devem usar a vaga superior.",Improdutivo
"O almoço de Natal será no dia 15/12. Confirme sua presença até o final da semana para a reserva.",Improdutivo
"Recebi seu e-mail e achei a história do gatinho perdido muito triste. Espero que ele seja encontrado logo!",Improdutivo
"Link para a votação do 'Funcionário do Mês'. Vote no seu colega preferido e ajude-o a ganhar o prêmio!",Improdutivo
"Não se esqueça de preencher o formulário de feedback sobre a decoração da festa junina da empresa.",Improdutivo
"Perdi minha caneta favorita! É uma Montblanc preta. Se alguém encontrou, por favor, me avise.",Improdutivo
"Oferta de assinatura de revista de fofocas com 50% de desconto para funcionários do setor financeiro.",Improdutivo
"Atenção: A máquina de snacks do 10º andar está fora de serviço para reabastecimento.",Improdutivo
"Convite para a aula experimental de yoga que a empresa está oferecendo. Inscrições abertas.",Improdutivo
"Seu colega, Pedro, está doente hoje e ficará fora. Por favor, evitem ligar para ele.",Improdutivo
"Atenção para a nova senha do Wi-Fi da área de lazer. É 'diversao2025'.",Improdutivo
"Atualização sobre a coleta de lixo reciclável no escritório. Favor separar o plástico do papel corretamente.",Improdutivo
"Veja o vídeo viral do bebê que ri ao comer limão! O link está anexado.",Improdutivo
"Compre ingressos para o show de rock com desconto exclusivo para o nosso grupo.",Improdutivo
"Encontrei uma carteira no estacionamento. É de couro marrom. Favor entrar em contato para identificar o dono.",Improdutivo
"Lembrete para o bingo beneficente que acontecerá na lanchonete na sexta-feira.",Improdutivo
"Mudança no horário da ginástica laboral: será às 15h, e não mais às 14h.",Improdutivo
"Votação para a cor das novas camisetas da empresa. Escolha entre azul e verde.",Improdutivo
"Estou organizando uma vaquinha para o presente de casamento da Ana. Contribua!",Improdutivo
"Desculpe, este e-mail foi enviado por engano. Por favor, ignore a mensagem anterior.",Improdutivo
"Pesquisa rápida: Você prefere café gourmet ou o tradicional no escritório?",Improdutivo
"Link para o álbum de fotos do último happy hour. Confira as fotos engraçadas!",Improdutivo
"Aviso: O elevador social ficará em manutenção por 4 horas amanhã.",Improdutivo
"Oferta de empréstimo pessoal com taxa de juros baixa. Clique para simular!",Improdutivo
"Convite para o chá de bebê da Maria (Marketing). Traga um presente.",Improdutivo
"Alerta de trânsito: A Marginal Pinheiros está interditada. Use rotas alternativas hoje.",Improdutivo
"Você tem um novo seguidor no LinkedIn. Clique aqui para ver o perfil dele.",Improdutivo
"Revisão da política de uso da impressora. Não imprima materiais pessoais.",Improdutivo
"Sugestão de livro de autoajuda que mudou minha vida! Altamente recomendado.",Improdutivo
"A lista de ramais internos foi atualizada. O ramal do RH agora é 300.",Improdutivo
"Concurso de Fantasias de Halloween! O prêmio é um dia de folga remunerado.",Improdutivo
"Informe sobre a nova lixeira de compostagem na cozinha. Apenas restos orgânicos.",Improdutivo
"Lembrete para devolver o livro da biblioteca da empresa que você pegou.",Improdutivo
"Tutorial: Como usar o novo filtro de fotos do aplicativo interno da empresa.",Improdutivo
"Oferta: Receba R$ 50 de bônus ao indicar um amigo para o nosso curso de inglês.",Improdutivo
"Encontrei esta receita de bolo de chocolate maravilhosa e queria compartilhar!",Improdutivo
"A nova planta do escritório (Dracena) precisa ser regada duas vezes por semana.",Improdutivo
"A área de Controladoria solicita a sua aprovação final no fechamento do balancete de agosto até o meio-dia de hoje.",Produtivo
"O sistema de *trading* apresentou um erro de latência. O *log* do incidente foi anexado. Favor investigar a causa raiz.",Produtivo
"O novo regulamento da SUSEP exige a revisão imediata das nossas apólices. A minuta de alteração está na pasta compartilhada.",Produtivo
"Reunião de emergência sobre o impacto da desvalorização do Real nas reservas cambiais. Sala 1, às 14h.",Produtivo
"Necessitamos dos relatórios de Due Diligence da Empresa Gama para avançarmos na negociação de M&A.",Produtivo
"O prazo para o envio do Formulário de Renda Fixa ao Tesouro Nacional foi antecipado. Favor priorizar o preenchimento.",Produtivo
"O cliente Gold fez um depósito não identificado. Favor conciliar o valor de R$ 85.000,00 na conta de suspense.",Produtivo
"Segue o material para a apresentação do Roadshow de Nova York. Foco nos dados de crescimento e *valuation*.",Produtivo
"O time jurídico aprovou o aditivo contratual com o fornecedor X. Pode prosseguir com a assinatura eletrônica.",Produtivo
"Favor atualizar os limites de exposição para o setor de energia, conforme a nova política de risco aprovada.",Produtivo
"Anexado o sumário executivo da performance do fundo multimercado no último mês. Revisão necessária antes da publicação.",Produtivo
"O sistema de monitoramento detectou uma movimentação atípica de R$ 1.2MM. Favor confirmar a legitimidade da transação.",Produtivo
"O treinamento sobre a nova ferramenta de modelagem de crédito está agendado para amanhã às 10h. Presença obrigatória.",Produtivo
"Aprovado o orçamento para a compra de novas licenças do software Bloomberg. Favor providenciar a ordem de compra.",Produtivo
"O relatório de auditoria interna sobre a segregação de funções estará disponível amanhã. Preparar plano de mitigação de falhas.",Produtivo
"A taxa Selic foi mantida. Favor recalcular o *pricing* dos nossos produtos de crédito pessoal para a próxima semana.",Produtivo
"O cliente Platinium ligou solicitando a renegociação da dívida. Favor preparar a simulação de parcelamento em 60x.",Produtivo
"O parecer do auditor externo exige a reclassificação de alguns ativos no balanço. Enviar a revisão à contabilidade.",Produtivo
"A equipe de TI iniciará a migração dos servidores para o novo data center na próxima sexta. Teste de contingência agendado.",Produtivo
"Lembrete: O prazo para declarar Imposto de Renda Retido na Fonte (IRRF) é hoje.",Produtivo
"Precisamos de uma análise de sensibilidade detalhada sobre o impacto de um aumento de 1% no spread de crédito.",Produtivo
"Favor enviar a documentação completa para a abertura da conta *offshore* do novo Diretor.",Produtivo
"A Comissão de Ética solicita os registros de *gifts* recebidos nos últimos 6 meses para revisão de compliance.",Produtivo
"Os novos relatórios de Basileia III estão prontos. Favor revisar os cálculos de RWA (Risk-Weighted Assets).",Produtivo
"O fechamento do caixa diário apresentou um déficit de R$ 120,00. Favor rastrear a diferença com urgência.",Produtivo
"A comunicação ao mercado sobre a emissão das novas *Commercial Papers* deve ser enviada às 9h.",Produtivo
"Favor atualizar o cadastro do fornecedor 'SoftSec' com o novo CNPJ. A fatura não pode ser paga sem a correção.",Produtivo
"A ata da última reunião do Conselho de Administração foi finalizada. Favor assinar digitalmente e arquivar.",Produtivo
"O time de *Front Office* precisa do novo modelo de valuation de ações antes da abertura do pregão.",Produtivo
"Aprovada a mudança na política de investimento em BDRs (Brazilian Depositary Receipts). Limite de 15% do PL.",Produtivo
"O sistema de custódia apresentou erro na alocação de dividendos. Favor corrigir a distribuição para 5 clientes.",Produtivo
"O CFO solicitou um resumo de 1 página sobre a liquidez atual da empresa. Prazo: 1 hora.",Produtivo
"O treinamento sobre as novas regras de Insider Trading está disponível na intranet. Conclusão obrigatória.",Produtivo
"Recebemos uma notificação extrajudicial. Favor encaminhar ao departamento jurídico para análise de risco.",Produtivo
"O projeto de implementação do novo ERP financeiro está com atraso de 2 semanas. Reunião de alinhamento com a TI.",Produtivo
"A nova tabela de tarifas e serviços entra em vigor na próxima segunda. Favor garantir que o site e sistemas estejam atualizados.",Produtivo
"O relatório de provisões de perdas de empréstimos está pronto. O impacto no lucro líquido é de 5% neste mês.",Produtivo
"Reunião de planejamento estratégico focada na expansão para o mercado latino-americano.",Produtivo
"A transferência de custódia do Cliente Invest Plus foi concluída. Confirmar o recebimento dos ativos.",Produtivo
"Favor revisar o cálculo do imposto de renda da Pessoa Jurídica (IRPJ) para garantir que não haja divergências.",Produtivo
"O relatório de testes de estresse para cenário de crise econômica global foi finalizado. As perdas projetadas estão dentro da tolerância.",Produtivo
"É necessário criar um novo código de produto no sistema para o lançamento do Certificado de Recebíveis Imobiliários (CRI).",Produtivo
"O time de *Back Office* precisa da confirmação das operações de *swap* de juros fechadas ontem.",Produtivo
"A proposta de crédito consignado para funcionários públicos foi finalizada. Enviar para a área comercial para *rollout*.",Produtivo
"Lembrete: O prazo para o envio do FAP (Fator Acidentário de Prevenção) ao governo é hoje.",Produtivo
"A política de viagens corporativas foi revisada. Máximo de R$ 500 para alimentação por dia fora do país.",Produtivo
"O relatório de desempenho da área comercial no mês de setembro será apresentado à diretoria amanhã.",Produtivo
"O sistema de *Home Broker* apresentou instabilidade no fechamento do mercado. Favor enviar um comunicado aos clientes.",Produtivo
"Favor agendar uma reunião com o Cliente Prime para discutir a renovação de sua carteira de investimentos.",Produtivo
"A transferência de R$ 25.000,00 para a conta do fornecedor 'Limpeza Total' foi rejeitada pelo banco. Favor verificar o motivo.",Produtivo
"Atenção: Oferta de 50% de desconto em seguro de carro para funcionários. Clique aqui para simular.",Improdutivo
"O chefe da segurança achou que a piada do contador que virou trader foi ofensiva. Favor evitar.",Improdutivo
"Votação para o tema da próxima 'Pizza Day' da empresa: Calabresa ou Quatro Queijos?",Improdutivo
"Um colega do 7º andar está vendendo ingressos para o show do Coldplay. Interessados entrar em contato.",Improdutivo
"Problema na impressora do RH: o toner acabou e será reposto apenas amanhã de manhã.",Improdutivo
"Convite para o casamento da minha prima, que será no interior. O vestido é *social chic*.",Improdutivo
"Lembrete do sorteio da cesta de páscoa. Garanta seu número com o pessoal da recepção.",Improdutivo
"Perdi meu carregador de celular (iPhone) no andar de vocês. É preto. Por favor, avisem se encontrarem.",Improdutivo
"O time de marketing está coletando fotos espontâneas dos funcionários para o novo *folder*.",Improdutivo
"Este final de semana terá um bazar de artesanato na praça central. Ótimas opções de presente!",Improdutivo
"Atualização: A academia parceira mudou o horário de funcionamento na sexta-feira (fecha mais cedo).",Improdutivo
"E-mail automático: Seu ponto de fidelidade no café da esquina expirará em 7 dias.",Improdutivo
"Lembrete: O prazo para inscrição na corrida de rua beneficente da empresa encerra hoje.",Improdutivo
"Favor responder a esta pesquisa para melhorar o cardápio do nosso refeitório.",Improdutivo
"Estou organizando uma pool party na minha casa no sábado. Todos são bem-vindos!",Improdutivo
"Alerta de promoção relâmpago em passagens aéreas! Não perca as ofertas para a Europa.",Improdutivo
"Meu novo ramal é 5521. Favor atualizar a lista de contatos internos.",Improdutivo
"Vi esta matéria sobre as melhores séries de ficção científica da Netflix e lembrei de você.",Improdutivo
"Atenção: O bebedouro do corredor principal está com vazamento. Manutenção agendada para a tarde.",Improdutivo
"Tutorial de como fazer origami para decorar a sua mesa. Assista ao vídeo anexo.",Improdutivo
"Solicitação de feedback sobre a cor do novo logotipo da empresa (roxo vs. laranja).",Improdutivo
"Convite: Palestra gratuita sobre 'Como Fazer seu Próprio Pão Artesanal'.",Improdutivo
"Encontrei este meme engraçado sobre a Bolsa de Valores. Precisei compartilhar!",Improdutivo
"Por favor, usem o *tag* de identificação em todos os momentos dentro do prédio.",Improdutivo
"Sua assinatura na Revista 'Futebol Total' está prestes a expirar. Renove agora com 10% de desconto.",Improdutivo
"Atenção: A temperatura da geladeira da cozinha precisa ser ajustada. Está congelando o leite.",Improdutivo
"Sugestão de presente de Dia das Mães para a sua esposa. Veja a lista que preparei!",Improdutivo
"Alerta de vírus: Não abra o anexo 'fatura_pendente.zip'. É um golpe.",Improdutivo
"Lembrete sobre a aula de culinária que vamos fazer juntos na quarta-feira.",Improdutivo
"As novas regras de uso da cozinha incluem lavar a louça imediatamente após o uso.",Improdutivo
"O grupo de leitura do escritório está discutindo o livro 'O Monge e o Executivo'. Participe!",Improdutivo
"Convite para o evento de networking com cervejaria artesanal na zona sul.",Improdutivo
"Lançamento do álbum novo da sua banda favorita! Ouça agora no Spotify.",Improdutivo
"Aviso: O elevador de serviço será o único disponível durante a hora do almoço.",Improdutivo
"Perguntas sobre o quiz de cultura pop que faremos no final do dia. Estude!",Improdutivo
"Oferta de plano de saúde odontológico com adesão imediata e sem carência.",Improdutivo
"Compre 5 cafés e ganhe 1 grátis na lanchonete do térreo. Pegue seu cartão fidelidade.",Improdutivo
"Mudança no horário de ônibus fretado para a região de Alphaville. Consulte o novo itinerário.",Improdutivo
"Receita de bolo de banana com aveia, sem glúten e sem lactose. Muito gostoso!",Improdutivo
"O armário 15 do vestiário está quebrado. Favor não utilizar.",Improdutivo
"Recomendação de podcast sobre histórias de crimes reais. Viciante!",Improdutivo
"Atenção: A porta de acesso ao terraço deve permanecer trancada por segurança.",Improdutivo
"Venda de rifa para ajudar um colega que está passando por dificuldades financeiras.",Improdutivo
"Os novos uniformes já estão disponíveis para retirada no RH. Não se esqueça de pegar o seu.",Improdutivo
"Você ganhou um bônus de R$ 10,00 no seu aplicativo de transporte. Use hoje!",Improdutivo
"Lembrete: A aula de idiomas no escritório foi cancelada esta semana.",Improdutivo
"Convite para o bazar de troca de livros. Traga os seus e pegue um novo.",Improdutivo
"Atenção: O evento de caridade com a creche da região foi remarcado para o próximo mês.",Improdutivo
"Link para o tutorial de como usar o novo recurso de emojis no chat interno.",Improdutivo